"2019-09-23";"06:54:45";"WinControl (rev 848) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2019-09-23 04:50:30.054";"2019-09-23";"04:50:30";"SCHS";"";"Chart start ";""
"2019-09-23 04:50:30.055";"2019-09-23";"04:50:30";"FO";"2436";"0";"0";"0";"-";"-"
"2019-09-23 04:50:43.298";"2019-09-23";"04:50:43";"FO";"2437";"0";"0";"0";"-";"-"
"2019-09-23 04:51:05.439";"2019-09-23";"04:51:05";"FO";"2438";"0";"0";"0";"-";"-"
"2019-09-23 04:52:01.000";"2019-09-23";"04:52:01";"FO";"2439";"422";"1215";"0";"0.653";"0.0"
"2019-09-23 04:52:22.515";"2019-09-23";"04:52:22";"F";"2440";"646";"1210";"60";"0.466";"11.7"
"2019-09-23 04:52:43.668";"2019-09-23";"04:52:43";"F";"2441";"622";"1167";"85";"0.467";"16.7"
"2019-09-23 04:53:04.610";"2019-09-23";"04:53:04";"F";"2442";"649";"1124";"120";"0.423";"21.3"
"2019-09-23 04:53:26.999";"2019-09-23";"04:53:26";"F";"2443";"708";"1075";"198";"0.341";"28.4"
"2019-09-23 04:53:47.056";"2019-09-23";"04:53:47";"F";"2444";"738";"1019";"295";"0.276";"34.2"
"2019-09-23 04:54:09.255";"2019-09-23";"04:54:09";"F";"2445";"764";"951";"475";"0.197";"39.3"
"2019-09-23 04:54:30.852";"2019-09-23";"04:54:30";"F";"2446";"760";"881";"700";"0.137";"40.3"
"2019-09-23 04:54:51.538";"2019-09-23";"04:54:51";"F";"2447";"744";"808";"1250";"0.079";"41.5"
"2019-09-23 04:55:32.515";"2019-09-23";"04:55:32";"FO";"2448";"467";"1461";"0";"0.680";"0.0"
"2019-09-23 04:55:53.721";"2019-09-23";"04:55:53";"F";"2449";"756";"1459";"60";"0.482";"12.1"
"2019-09-23 04:56:14.190";"2019-09-23";"04:56:14";"F";"2450";"751";"1424";"85";"0.473";"16.9"
"2019-09-23 04:56:36.715";"2019-09-23";"04:56:36";"F";"2451";"804";"1396";"120";"0.424";"21.4"
"2019-09-23 04:56:57.309";"2019-09-23";"04:56:57";"F";"2452";"913";"1362";"198";"0.330";"27.4"
"2019-09-23 04:57:18.231";"2019-09-23";"04:57:18";"F";"2453";"980";"1306";"295";"0.250";"31.0"
"2019-09-23 04:57:40.152";"2019-09-23";"04:57:40";"F";"2454";"1024";"1237";"475";"0.172";"34.3"
"2019-09-23 04:58:00.731";"2019-09-23";"04:58:00";"F";"2455";"1023";"1151";"700";"0.111";"32.6"
"2019-09-23 04:58:22.717";"2019-09-23";"04:58:22";"F";"2456";"988";"1050";"1250";"0.059";"31.0"
"2019-09-23 04:59:05.170";"2019-09-23";"04:59:05";"FO";"2457";"438";"1270";"0";"0.655";"0.0"
"2019-09-23 04:59:25.948";"2019-09-23";"04:59:25";"F";"2458";"706";"1315";"60";"0.463";"11.7"
"2019-09-23 04:59:47.872";"2019-09-23";"04:59:47";"F";"2459";"712";"1306";"85";"0.455";"16.2"
"2019-09-23 05:00:08.247";"2019-09-23";"05:00:08";"F";"2460";"757";"1295";"120";"0.415";"20.9"
"2019-09-23 05:00:29.366";"2019-09-23";"05:00:29";"F";"2461";"844";"1254";"198";"0.327";"27.2"
"2019-09-23 05:00:51.816";"2019-09-23";"05:00:51";"F";"2462";"895";"1202";"295";"0.255";"31.6"
"2019-09-23 05:01:12.052";"2019-09-23";"05:01:12";"F";"2463";"931";"1136";"475";"0.180";"35.9"
"2019-09-23 05:01:33.122";"2019-09-23";"05:01:33";"F";"2464";"934";"1058";"700";"0.117";"34.4"
"2019-09-23 05:01:55.279";"2019-09-23";"05:01:55";"F";"2465";"915";"973";"1250";"0.060";"31.5"
"2019-09-23 05:02:39.041";"2019-09-23";"05:02:39";"FO";"2466";"407";"1384";"0";"0.706";"0.0"
"2019-09-23 05:03:00.122";"2019-09-23";"05:03:00";"F";"2467";"715";"1398";"60";"0.489";"12.3"
"2019-09-23 05:03:20.870";"2019-09-23";"05:03:20";"F";"2468";"707";"1367";"85";"0.483";"17.2"
"2019-09-23 05:03:43.184";"2019-09-23";"05:03:43";"F";"2469";"753";"1337";"120";"0.437";"22.0"
"2019-09-23 05:04:03.417";"2019-09-23";"05:04:03";"F";"2470";"869";"1290";"198";"0.326";"27.1"
"2019-09-23 05:04:23.732";"2019-09-23";"05:04:23";"F";"2471";"914";"1210";"295";"0.245";"30.4"
"2019-09-23 05:04:44.814";"2019-09-23";"05:04:44";"F";"2472";"943";"1132";"475";"0.167";"33.3"
"2019-09-23 05:05:05.325";"2019-09-23";"05:05:05";"F";"2473";"937";"1052";"700";"0.109";"32.0"
"2019-09-23 05:05:26.262";"2019-09-23";"05:05:26";"F";"2474";"907";"960";"1250";"0.055";"28.9"
"2019-09-23 05:06:09.200";"2019-09-23";"05:06:09";"FO";"2475";"328";"913";"0";"0.641";"0.0"
"2019-09-23 05:06:29.293";"2019-09-23";"05:06:29";"F";"2476";"470";"870";"60";"0.460";"11.6"
"2019-09-23 05:06:50.262";"2019-09-23";"05:06:50";"F";"2477";"449";"835";"85";"0.462";"16.5"
"2019-09-23 05:07:11.017";"2019-09-23";"05:07:11";"F";"2478";"457";"806";"120";"0.433";"21.8"
"2019-09-23 05:07:32.222";"2019-09-23";"05:07:32";"F";"2479";"491";"763";"198";"0.356";"29.6"
"2019-09-23 05:07:52.341";"2019-09-23";"05:07:52";"F";"2480";"507";"711";"295";"0.287";"35.6"
"2019-09-23 05:08:12.870";"2019-09-23";"05:08:12";"F";"2481";"514";"648";"475";"0.207";"41.3"
"2019-09-23 05:08:34.002";"2019-09-23";"05:08:34";"F";"2482";"495";"577";"700";"0.142";"41.7"
"2019-09-23 05:08:54.297";"2019-09-23";"05:08:54";"F";"2483";"473";"514";"1250";"0.080";"42.0"
"2019-09-23 05:11:22.606";"2019-09-23";"05:11:22";"FO";"2484";"423";"1091";"0";"0.612";"0.0"
"2019-09-23 05:11:42.869";"2019-09-23";"05:11:42";"F";"2485";"589";"1010";"60";"0.417";"10.5"
"2019-09-23 05:12:03.929";"2019-09-23";"05:12:03";"F";"2486";"509";"898";"85";"0.433";"15.5"
"2019-09-23 05:12:24.711";"2019-09-23";"05:12:24";"F";"2487";"478";"833";"120";"0.426";"21.5"
"2019-09-23 05:12:44.535";"2019-09-23";"05:12:44";"F";"2488";"479";"758";"198";"0.368";"30.6"
"2019-09-23 05:13:05.483";"2019-09-23";"05:13:05";"F";"2489";"468";"682";"295";"0.314";"38.9"
"2019-09-23 05:13:27.288";"2019-09-23";"05:13:27";"F";"2490";"461";"610";"475";"0.244";"48.7"
"2019-09-23 05:13:47.606";"2019-09-23";"05:13:47";"F";"2491";"442";"540";"700";"0.181";"53.2"
"2019-09-23 05:14:08.280";"2019-09-23";"05:14:08";"F";"2492";"418";"471";"1250";"0.113";"59.3"
"2019-09-23 05:15:31.171";"2019-09-23";"05:15:31";"FO";"2493";"651";"2094";"0";"0.689";"0.0"
"2019-09-23 05:15:51.218";"2019-09-23";"05:15:51";"F";"2494";"1106";"2099";"60";"0.473";"11.9"
"2019-09-23 05:16:12.645";"2019-09-23";"05:16:12";"F";"2495";"1156";"2080";"85";"0.444";"15.9"
"2019-09-23 05:16:32.351";"2019-09-23";"05:16:32";"F";"2496";"1237";"2055";"120";"0.398";"20.1"
"2019-09-23 05:16:53.418";"2019-09-23";"05:16:53";"F";"2497";"1398";"2012";"198";"0.305";"25.4"
"2019-09-23 05:17:14.901";"2019-09-23";"05:17:14";"F";"2498";"1486";"1965";"295";"0.244";"30.2"
"2019-09-23 05:17:34.684";"2019-09-23";"05:17:34";"F";"2499";"1570";"1898";"475";"0.173";"34.5"
"2019-09-23 05:17:56.031";"2019-09-23";"05:17:56";"F";"2500";"1609";"1817";"700";"0.114";"33.5"
"2019-09-23 05:18:17.502";"2019-09-23";"05:18:17";"F";"2501";"1607";"1712";"1250";"0.061";"32.0"
"2019-09-23 05:19:13.827";"2019-09-23";"05:19:13";"FO";"2502";"310";"916";"0";"0.662";"0.0"
"2019-09-23 05:19:34.106";"2019-09-23";"05:19:34";"F";"2503";"450";"914";"60";"0.508";"12.8"
"2019-09-23 05:19:55.334";"2019-09-23";"05:19:55";"F";"2504";"433";"887";"85";"0.512";"18.3"
"2019-09-23 05:20:15.254";"2019-09-23";"05:20:15";"F";"2505";"441";"858";"120";"0.486";"24.5"
"2019-09-23 05:20:36.053";"2019-09-23";"05:20:36";"F";"2506";"483";"823";"198";"0.413";"34.3"
"2019-09-23 05:20:57.341";"2019-09-23";"05:20:57";"F";"2507";"516";"778";"295";"0.337";"41.8"
"2019-09-23 05:21:17.828";"2019-09-23";"05:21:17";"F";"2508";"547";"720";"475";"0.240";"47.9"
"2019-09-23 05:21:38.436";"2019-09-23";"05:21:38";"F";"2509";"547";"654";"700";"0.164";"48.2"
"2019-09-23 05:21:59.900";"2019-09-23";"05:21:59";"F";"2510";"531";"582";"1250";"0.088";"46.2"
"2019-09-23 05:23:12.538";"2019-09-23";"05:23:12";"FO";"2511";"491";"1595";"0";"0.692";"0.0"
"2019-09-23 05:23:32.278";"2019-09-23";"05:23:32";"F";"2512";"835";"1604";"60";"0.479";"12.1"
"2019-09-23 05:23:53.678";"2019-09-23";"05:23:53";"F";"2513";"867";"1588";"85";"0.454";"16.2"
"2019-09-23 05:24:13.499";"2019-09-23";"05:24:13";"F";"2514";"903";"1564";"120";"0.423";"21.3"
"2019-09-23 05:24:34.817";"2019-09-23";"05:24:34";"F";"2515";"1013";"1534";"198";"0.340";"28.3"
"2019-09-23 05:24:55.417";"2019-09-23";"05:24:55";"F";"2516";"1082";"1488";"295";"0.273";"33.8"
"2019-09-23 05:25:16.986";"2019-09-23";"05:25:16";"F";"2517";"1142";"1431";"475";"0.202";"40.3"
"2019-09-23 05:25:37.245";"2019-09-23";"05:25:37";"F";"2518";"1170";"1362";"700";"0.141";"41.5"
"2019-09-23 05:25:57.802";"2019-09-23";"05:25:57";"F";"2519";"1172";"1275";"1250";"0.081";"42.5"
"2019-09-23 05:26:56.331";"2019-09-23";"05:26:56";"FO";"2520";"479";"1447";"0";"0.669";"0.0"
"2019-09-23 05:27:17.825";"2019-09-23";"05:27:17";"F";"2521";"813";"1425";"60";"0.429";"10.8"
"2019-09-23 05:27:37.557";"2019-09-23";"05:27:37";"F";"2522";"824";"1389";"85";"0.407";"14.5"
"2019-09-23 05:27:58.811";"2019-09-23";"05:27:58";"F";"2523";"876";"1366";"120";"0.359";"18.1"
"2019-09-23 05:28:19.115";"2019-09-23";"05:28:19";"F";"2524";"953";"1330";"198";"0.283";"23.5"
"2019-09-23 05:28:40.412";"2019-09-23";"05:28:40";"F";"2525";"998";"1286";"295";"0.224";"27.8"
"2019-09-23 05:29:00.838";"2019-09-23";"05:29:00";"F";"2526";"1042";"1230";"475";"0.153";"30.5"
"2019-09-23 05:29:21.309";"2019-09-23";"05:29:21";"F";"2527";"1047";"1164";"700";"0.101";"29.7"
"2019-09-23 05:29:42.741";"2019-09-23";"05:29:42";"F";"2528";"1027";"1084";"1250";"0.053";"27.8"
"2019-09-23 05:30:33.184";"2019-09-23";"05:30:33";"FO";"2529";"342";"1116";"0";"0.694";"0.0"
"2019-09-23 05:30:53.375";"2019-09-23";"05:30:53";"F";"2530";"564";"981";"60";"0.425";"10.7"
"2019-09-23 05:31:13.917";"2019-09-23";"05:31:13";"F";"2531";"449";"807";"85";"0.444";"15.9"
"2019-09-23 05:31:35.017";"2019-09-23";"05:31:35";"F";"2532";"418";"707";"120";"0.409";"20.6"
"2019-09-23 05:31:56.366";"2019-09-23";"05:31:56";"F";"2533";"409";"628";"198";"0.349";"29.0"
"2019-09-23 05:32:17.192";"2019-09-23";"05:32:17";"F";"2534";"406";"579";"295";"0.299";"37.0"
"2019-09-23 05:32:36.899";"2019-09-23";"05:32:36";"F";"2535";"402";"520";"475";"0.227";"45.3"
"2019-09-23 05:32:57.968";"2019-09-23";"05:32:57";"F";"2536";"389";"466";"700";"0.165";"48.5"
"2019-09-23 05:33:19.821";"2019-09-23";"05:33:19";"F";"2537";"381";"421";"1250";"0.095";"49.9"
"2019-09-23 05:34:08.324";"2019-09-23";"05:34:08";"FO";"2538";"199";"540";"0";"0.631";"0.0"
"2019-09-23 05:34:28.277";"2019-09-23";"05:34:28";"F";"2539";"253";"456";"60";"0.445";"11.2"
"2019-09-23 05:34:49.143";"2019-09-23";"05:34:49";"F";"2540";"212";"380";"85";"0.442";"15.8"
"2019-09-23 05:35:10.148";"2019-09-23";"05:35:10";"F";"2541";"197";"336";"120";"0.414";"20.9"
"2019-09-23 05:35:30.074";"2019-09-23";"05:35:30";"F";"2542";"191";"305";"198";"0.374";"31.1"
"2019-09-23 05:35:50.590";"2019-09-23";"05:35:50";"F";"2543";"189";"280";"295";"0.325";"40.3"
"2019-09-23 05:36:12.075";"2019-09-23";"05:36:12";"F";"2544";"188";"255";"475";"0.263";"52.5"
"2019-09-23 05:36:32.209";"2019-09-23";"05:36:32";"F";"2545";"182";"230";"700";"0.209";"61.4"
"2019-09-23 05:36:53.606";"2019-09-23";"05:36:53";"F";"2546";"180";"209";"1250";"0.139";"73.0"
"2019-09-23 05:37:33.668";"2019-09-23";"05:37:33";"FO";"2547";"445";"1437";"0";"0.690";"0.0"
"2019-09-23 05:37:53.452";"2019-09-23";"05:37:53";"F";"2548";"736";"1338";"60";"0.450";"11.3"
"2019-09-23 05:38:14.555";"2019-09-23";"05:38:14";"F";"2549";"640";"1144";"85";"0.441";"15.7"
"2019-09-23 05:38:34.500";"2019-09-23";"05:38:34";"F";"2550";"628";"1026";"120";"0.388";"19.6"
"2019-09-23 05:38:55.543";"2019-09-23";"05:38:55";"F";"2551";"647";"935";"198";"0.308";"25.6"
"2019-09-23 05:39:16.007";"2019-09-23";"05:39:16";"F";"2552";"652";"870";"295";"0.251";"31.1"
"2019-09-23 05:39:37.540";"2019-09-23";"05:39:37";"F";"2553";"664";"809";"475";"0.179";"35.7"
"2019-09-23 05:39:58.043";"2019-09-23";"05:39:58";"F";"2554";"658";"746";"700";"0.118";"34.7"
"2019-09-23 05:40:19.452";"2019-09-23";"05:40:19";"F";"2555";"640";"685";"1250";"0.066";"34.7"
"2019-09-23 05:41:12.715";"2019-09-23";"05:41:12";"FO";"2556";"262";"701";"0";"0.626";"0.0"
"2019-09-23 05:41:31.417";"2019-09-23";"05:41:31";"F";"2557";"336";"595";"60";"0.435";"11.0"
"2019-09-23 05:41:52.393";"2019-09-23";"05:41:52";"F";"2558";"282";"500";"85";"0.436";"15.6"
"2019-09-23 05:42:13.293";"2019-09-23";"05:42:13";"F";"2559";"266";"446";"120";"0.404";"20.4"
"2019-09-23 05:42:34.303";"2019-09-23";"05:42:34";"F";"2560";"259";"404";"198";"0.359";"29.9"
"2019-09-23 05:42:54.419";"2019-09-23";"05:42:54";"F";"2561";"254";"373";"295";"0.319";"39.5"
"2019-09-23 05:43:16.668";"2019-09-23";"05:43:16";"F";"2562";"252";"340";"475";"0.259";"51.7"
"2019-09-23 05:43:36.969";"2019-09-23";"05:43:36";"F";"2563";"247";"308";"700";"0.198";"58.2"
"2019-09-23 05:43:57.425";"2019-09-23";"05:43:57";"F";"2564";"244";"280";"1250";"0.129";"67.7"
"2019-09-23 05:44:39.861";"2019-09-23";"05:44:39";"FO";"2565";"339";"1099";"0";"0.692";"0.0"
"2019-09-23 05:45:00.918";"2019-09-23";"05:45:00";"F";"2566";"542";"998";"60";"0.457";"11.5"
"2019-09-23 05:45:20.893";"2019-09-23";"05:45:20";"F";"2567";"442";"842";"85";"0.475";"17.0"
"2019-09-23 05:45:42.334";"2019-09-23";"05:45:42";"F";"2568";"418";"744";"120";"0.438";"22.1"
"2019-09-23 05:46:02.862";"2019-09-23";"05:46:02";"F";"2569";"417";"667";"198";"0.375";"31.2"
"2019-09-23 05:46:23.309";"2019-09-23";"05:46:23";"F";"2570";"413";"608";"295";"0.321";"39.8"
"2019-09-23 05:46:43.606";"2019-09-23";"05:46:43";"F";"2571";"416";"554";"475";"0.249";"49.7"
"2019-09-23 05:47:05.543";"2019-09-23";"05:47:05";"F";"2572";"410";"497";"700";"0.175";"51.5"
"2019-09-23 05:47:25.944";"2019-09-23";"05:47:25";"F";"2573";"400";"441";"1250";"0.093";"48.8"
"2019-09-23 05:48:18.199";"2019-09-23";"05:48:18";"FO";"2574";"196";"510";"0";"0.616";"0.0"
"2019-09-23 05:48:39.190";"2019-09-23";"05:48:39";"F";"2575";"241";"402";"60";"0.400";"10.1"
"2019-09-23 05:49:00.074";"2019-09-23";"05:49:00";"F";"2576";"196";"326";"85";"0.399";"14.2"
"2019-09-23 05:49:21.075";"2019-09-23";"05:49:21";"F";"2577";"180";"289";"120";"0.377";"19.0"
"2019-09-23 05:49:41.405";"2019-09-23";"05:49:41";"F";"2578";"173";"261";"198";"0.337";"28.0"
"2019-09-23 05:50:01.716";"2019-09-23";"05:50:01";"F";"2579";"168";"239";"295";"0.297";"36.8"
